Timestamp,I quickly feel drained when in a large crowd of people,I am a cautious decision maker,"I feel drained after being out and about, even if I've enjoyed myself",I enjoy large gatherings of people,I don’t take risks unless I've done some careful research or evaluation first,"When I was a child, people described me as ""quiet""","In large social gatherings, I often feel a need to seek out space to be by myself","If possible, I would spend every single moment by myself",I like to spend at least a few moments alone every day,I prefer to work alone than with others
3/20/2018 18:19:50,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
3/22/2018 16:57:54,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree
3/23/2018 21:32:14,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree
3/24/2018 17:09:33,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree
3/24/2018 20:47:51,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
3/25/2018 11:04:44,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
3/25/2018 11:58:39,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree
3/25/2018 12:50:09,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
3/25/2018 14:48:45,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
3/25/2018 15:01:47,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
3/25/2018 16:14:18,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree
3/25/2018 19:30:25,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
3/25/2018 21:04:36,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
3/25/2018 22:42:21,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree
3/25/2018 23:44:32,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
3/26/2018 2:16:44,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree
3/26/2018 9:38:42,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
3/26/2018 10:20:13,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
